Mix	ST	Software
17	Low confidence	MOST
18	Low confidence	MOST
19	Low confidence	MOST
20	Low confidence	MOST
21	Low confidence	MOST
22	Low confidence	MOST
23	Low confidence	MOST
24	Low confidence	MOST
25	Low confidence	MOST
26	Low confidence	MOST
27	Low confidence	MOST
28	Low confidence	MOST
29	Low confidence	MOST
30	Low confidence	MOST
31	Low confidence	MOST
32	Low confidence	MOST
33	Low confidence	MOST
34	Low confidence	MOST
35	Low confidence	MOST
36	Low confidence	MOST
37	Low confidence	MOST
38	Low confidence	MOST
39	Low confidence	MOST
40	Low confidence	MOST
41	Low confidence	MOST
42	Low confidence	MOST
43	Low confidence	MOST
44	Low confidence	MOST
45	ST 365 (S.Weltevreden)	MOST
46	ST 365 (S.Weltevreden)	MOST
47	ST 365 (S.Weltevreden)	MOST
48	ST 365 (S.Weltevreden)	MOST
49	ST 365 (S.Weltevreden)	MOST
1	ST 19 (S.Typhi)	SRST2
2	ST 19 (S.Typhi)	SRST2
3	ST 19 (S.Typhi)	SRST2
4	ST 19 (S.Typhi)	SRST2
5	ST 19 (S.Typhi)	SRST2
6	ST 19 (S.Typhi)	SRST2
7	ST 19 (S.Typhi)	SRST2
8	ST 19 (S.Typhi)	SRST2
9	ST 19 (S.Typhi)	SRST2
10	ST 19 (S.Typhi)	SRST2
11	Low confidence	SRST2
12	ST 19 (S.Typhi)	SRST2
13	Low confidence	SRST2
14	Low confidence	SRST2
15	Low confidence	SRST2
16	ST 19 (S.Typhi)	SRST2
17	ST 19 (S.Typhi)	SRST2
18	Low confidence	SRST2
19	Low confidence	SRST2
20	Low confidence	SRST2
21	Low confidence	SRST2
22	Low confidence	SRST2
23	Low confidence	SRST2
24	Low confidence	SRST2
25	Low confidence	SRST2
26	Low confidence	SRST2
27	Low confidence	SRST2
28	Low confidence	SRST2
29	Low confidence	SRST2
30	Low confidence	SRST2
31	Low confidence	SRST2
32	Low confidence	SRST2
33	ST 365 (S.Weltevreden)	SRST2
34	ST 365 (S.Weltevreden)	SRST2
35	Low confidence	SRST2
36	ST 365 (S.Weltevreden)	SRST2
37	ST 365 (S.Weltevreden)	SRST2
38	Low confidence	SRST2
39	ST 365 (S.Weltevreden)	SRST2
40	ST 365 (S.Weltevreden)	SRST2
41	ST 365 (S.Weltevreden)	SRST2
42	ST 365 (S.Weltevreden)	SRST2
43	ST 365 (S.Weltevreden)	SRST2
44	ST 365 (S.Weltevreden)	SRST2
45	ST 365 (S.Weltevreden)	SRST2
46	ST 365 (S.Weltevreden)	SRST2
47	ST 365 (S.Weltevreden)	SRST2
48	ST 365 (S.Weltevreden)	SRST2
49	ST 365 (S.Weltevreden)	SRST2
1	ST 19 (S.Typhi)	stringMLST
2	ST 19 (S.Typhi)	stringMLST
3	ST 19 (S.Typhi)	stringMLST
4	ST 19 (S.Typhi)	stringMLST
5	ST 19 (S.Typhi)	stringMLST
6	ST 19 (S.Typhi)	stringMLST
7	ST 19 (S.Typhi)	stringMLST
8	ST 19 (S.Typhi)	stringMLST
9	ST 19 (S.Typhi)	stringMLST
10	ST 19 (S.Typhi)	stringMLST
11	ST 19 (S.Typhi)	stringMLST
12	ST 19 (S.Typhi)	stringMLST
13	ST 19 (S.Typhi)	stringMLST
14	ST 19 (S.Typhi)	stringMLST
15	ST 19 (S.Typhi)	stringMLST
16	ST 19 (S.Typhi)	stringMLST
17	ST 19 (S.Typhi)	stringMLST
18	ST 19 (S.Typhi)	stringMLST
19	False Positive	stringMLST
20	False Positive	stringMLST
21	Low confidence	stringMLST
22	Low confidence	stringMLST
23	Low confidence	stringMLST
24	Low confidence	stringMLST
25	Low confidence	stringMLST
26	Low confidence	stringMLST
27	ST 365 (S.Weltevreden)	stringMLST
28	ST 365 (S.Weltevreden)	stringMLST
29	Low confidence	stringMLST
30	Low confidence	stringMLST
31	Low confidence	stringMLST
32	ST 365 (S.Weltevreden)	stringMLST
33	ST 365 (S.Weltevreden)	stringMLST
34	ST 365 (S.Weltevreden)	stringMLST
35	ST 365 (S.Weltevreden)	stringMLST
36	ST 365 (S.Weltevreden)	stringMLST
37	ST 365 (S.Weltevreden)	stringMLST
38	ST 365 (S.Weltevreden)	stringMLST
39	ST 365 (S.Weltevreden)	stringMLST
40	ST 365 (S.Weltevreden)	stringMLST
41	ST 365 (S.Weltevreden)	stringMLST
42	ST 365 (S.Weltevreden)	stringMLST
43	ST 365 (S.Weltevreden)	stringMLST
44	ST 365 (S.Weltevreden)	stringMLST
45	ST 365 (S.Weltevreden)	stringMLST
46	ST 365 (S.Weltevreden)	stringMLST
47	ST 365 (S.Weltevreden)	stringMLST
48	ST 365 (S.Weltevreden)	stringMLST
49	ST 365 (S.Weltevreden)	stringMLST
