Software	Coverage	Correct_alleles	False_Positive_alleles	Time	Disk_space	Time_for_SPAdes
MOST	24	7	0	229.29	208588000	
MOST	25	7	0	246.06	223584000	
MOST	26	7	0	256.64	231296000	
MOST	27	7	0	264.51	238532000	
MOST	28	7	0	272.36	244936000	
MOST	29	7	0	276.67	250448000	
MOST	30	7	0	284.48	259284000	
MLSTcheck	1	0	0			
MLSTcheck	2	0	0			
MLSTcheck	3	0	0			
MLSTcheck	4	0	0			
MLSTcheck	5	0	0			
MLSTcheck	6	0	0			
MLSTcheck	7	7	0	30.454	12000	8.923
MLSTcheck	8	7	0	45.468	12000	8.888
MLSTcheck	9	7	0	32.83	12000	7.29
MLSTcheck	10	7	0	35.425	12000	8.606
MLSTcheck	11	7	0	28.753	12000	7.686
MLSTcheck	12	7	0	40.709	12000	9.647
MLSTcheck	13	7	0	39.893	12000	8.913
MLSTcheck	14	7	0	37.176	12000	9.262
MLSTcheck	15	7	0	32.617	12000	7.612
MLSTcheck	16	7	0	29.157	12000	9.845
MLSTcheck	17	7	0	31.055	12000	8.28
MLSTcheck	18	7	0	30.725	12000	8.48
MLSTcheck	19	7	0	39.965	12000	9.612
MLSTcheck	20	7	0	29.787	12000	8.893
MLSTcheck	21	7	0	33.523	12000	8.432
MLSTcheck	22	7	0	40.43	12000	9.108
MLSTcheck	23	7	0	29.971	12000	10.26
MLSTcheck	24	7	0	28.756	12000	9.646
MLSTcheck	25	7	0	38.94	12000	12.348
MLSTcheck	26	7	0	31.308	12000	9.933
MLSTcheck	27	7	0	34.876	12000	11.978
MLSTcheck	28	7	0	34.558	12000	11.382
MLSTcheck	29	7	0	37.741	12000	9.335
MLSTcheck	30	7	0	52.197	12000	10.925
